energy,tempo,danceability,playlist_genre,loudness,valence,speechiness,track_popularity,duration_ms
0.592,157.969,0.521,pop,-7.777,0.535,0.0304,100,251668
0.507,104.978,0.747,pop,-10.171,0.438,0.0358,97,210373
0.808,108.548,0.554,pop,-4.169,0.372,0.0368,93,166300
0.91,112.966,0.67,pop,-4.07,0.786,0.0634,81,157280
0.783,149.027,0.777,pop,-4.477,0.939,0.26,98,169917
0.582,116.712,0.7,pop,-5.96,0.785,0.0356,94,218424
0.561,150.069,0.669,pop,-6.538,0.841,0.0411,88,169698
0.247,148.101,0.467,pop,-12.002,0.126,0.0431,93,261467
0.416,94.926,0.492,pop,-10.439,0.297,0.0254,71,211979
0.722,119.973,0.769,pop,-5.485,0.57,0.0507,92,256000
0.667,130.019,0.776,pop,-6.622,0.618,0.0983,85,145219
0.586,107.071,0.669,pop,-6.073,0.579,0.054,88,186365
0.806,104.032,0.608,pop,-3.443,0.587,0.0486,79,181821
0.709,81.012,0.722,pop,-4.95,0.604,0.0273,86,171292
0.757,139.982,0.742,pop,-4.981,0.957,0.0421,88,184841
0.917,100.987,0.562,pop,-2.768,0.501,0.117,86,229997
0.787,109.939,0.734,pop,-3.951,0.672,0.116,82,155757
0.843,122.064,0.619,pop,-5.348,0.746,0.0284,86,204829
0.406,115.94,0.53,pop,-7.507,0.338,0.033,90,157147
0.782,119.992,0.727,pop,-8.529,0.655,0.042,86,177599
0.812,80.09,0.505,pop,-3.986,0.664,0.461,88,255916
0.76,103.969,0.701,pop,-5.478,0.69,0.0285,90,175459
0.725,116.988,0.894,pop,-4.984,0.838,0.0432,89,136627
0.563,105.008,0.833,pop,-5.593,0.343,0.204,82,182857
0.628,119.98,0.757,pop,-6.715,0.321,0.101,85,217333
0.855,127.986,0.638,pop,-4.86,0.731,0.0264,84,178206
0.62,117.038,0.741,pop,-5.505,0.934,0.0412,77,251424
0.339,97.989,0.705,pop,-10.612,0.457,0.0278,84,236907
0.651,112.648,0.694,pop,-6.968,0.471,0.0784,93,225881
0.601,123.994,0.635,pop,-6.129,0.332,0.0295,88,172533
0.691,167.029,0.836,pop,-4.222,0.703,0.363,70,149461
0.646,115.842,0.645,pop,-8.334,0.295,0.0427,81,228639
0.471,105.029,0.472,pop,-5.692,0.219,0.0603,85,180304
0.709,194.055,0.744,pop,-5.778,0.712,0.284,84,130880
0.904,167.033,0.739,pop,-2.655,0.788,0.0442,85,129883
0.604,159.92,0.561,pop,-4.409,0.242,0.0337,89,210689
0.668,90.969,0.646,pop,-5.203,0.64,0.0282,82,148318
0.668,128.027,0.924,pop,-6.795,0.787,0.0469,93,195824
0.454,159.982,0.689,pop,-7.643,0.912,0.0584,89,159246
0.386,192.004,0.504,pop,-10.976,0.281,0.0308,84,228965
0.681,155.079,0.56,pop,-6.304,0.388,0.244,89,223320
0.472,101.061,0.898,pop,-7.001,0.214,0.0776,88,274192
0.711,146.921,0.487,pop,-4.22,0.317,0.0322,85,151647
0.712,91.98,0.848,pop,-3.574,0.692,0.0981,84,298131
0.645,114.933,0.882,pop,-7.233,0.788,0.0601,87,104419
0.872,184.115,0.466,pop,-3.344,0.806,0.0336,89,190428
0.756,116.034,0.66,pop,-3.743,0.838,0.032,92,170888
0.508,147.125,0.579,rock,-9.484,0.609,0.027,81,391376
0.89,133.52,0.502,rock,-5.175,0.259,0.0364,83,292880
0.446,123.596,0.743,rock,-7.807,0.278,0.0683,82,232107
0.43,91.844,0.515,rock,-9.935,0.104,0.0372,86,238640
0.824,120.125,0.5,rock,-5.846,0.539,0.0388,76,218920
0.767,96.483,0.592,rock,-2.788,0.328,0.027,81,329733
0.952,125.304,0.445,rock,-5.321,0.624,0.0522,84,356067
0.795,158.691,0.464,rock,-9.267,0.612,0.0926,81,202267
0.492,120.151,0.828,rock,-9.744,0.789,0.0276,84,257800
0.881,158.066,0.413,rock,-5.541,0.364,0.0367,81,250547
0.716,94.379,0.535,rock,-5.025,0.901,0.0431,77,175173
0.322,93.503,0.475,rock,-10.687,0.387,0.0283,79,206267
0.394,104.114,0.693,rock,-15.882,0.721,0.0428,74,238747
0.899,152.445,0.475,rock,-4.321,0.603,0.0637,72,230667
0.943,85.064,0.442,rock,-3.205,0.781,0.0602,80,181533
0.345,84.581,0.559,rock,-13.496,0.458,0.0459,82,264307
0.814,147.193,0.673,rock,-5.411,0.728,0.0367,70,252200
0.767,127.361,0.532,rock,-5.509,0.755,0.0574,81,210173
0.863,136.302,0.723,rock,-7.89,0.931,0.0338,76,222813
0.449,100.456,0.486,rock,-10.298,0.549,0.0267,76,254293
0.902,89.74,0.412,rock,-11.6,0.422,0.405,72,333893
0.722,103.886,0.55,rock,-11.729,0.716,0.0283,70,434720
0.944,105.338,0.394,rock,-6.506,0.265,0.0761,77,292581
0.952,122.093,0.398,rock,-6.042,0.584,0.061,72,278680
0.917,171.176,0.356,rock,-6.006,0.518,0.0479,79,357267
0.589,124.634,0.455,rock,-8.64,0.254,0.0328,75,283733
0.805,113.253,0.438,rock,-6.237,0.564,0.0624,72,240800
0.239,189.507,0.446,rock,-13.945,0.298,0.0316,76,336453
0.521,123.118,0.721,rock,-8.123,0.942,0.0613,76,261413
0.67,129.269,0.619,rock,-10.322,0.777,0.0353,71,211933
0.828,105.25,0.539,rock,-9.108,0.562,0.035,70,515387
0.487,114.965,0.73,rock,-10.991,0.731,0.0303,79,226653
0.697,116.109,0.741,rock,-7.028,0.774,0.0277,84,160133
0.579,127.215,0.62,rock,-9.307,0.691,0.0473,69,225627
0.912,116.761,0.502,rock,-4.556,0.72,0.0564,76,301920
0.833,88.785,0.466,rock,-4.215,0.661,0.304,78,313573
0.376,164.775,0.53,rock,-11.913,0.188,0.04,75,259947
0.786,126.755,0.482,rock,-5.735,0.793,0.032,73,323000
0.789,129.802,0.674,rock,-6.903,0.918,0.0676,78,121160
0.441,81.334,0.519,rock,-14.178,0.25,0.0353,76,234973
0.836,113.375,0.743,rock,-6.465,0.82,0.116,80,188987
0.528,109.975,0.932,rock,-6.472,0.757,0.161,71,214653
0.905,128.019,0.602,rock,-4.046,0.411,0.0775,75,304840
0.519,98.883,0.653,rock,-10.164,0.822,0.0497,76,153693
0.946,138.18,0.454,rock,-5.978,0.647,0.13,68,156147
0.828,105.435,0.35,rock,-5.373,0.147,0.041,76,318587
0.349,124.348,0.489,rock,-14.295,0.622,0.0323,70,196467
0.872,159.925,0.587,rock,-5.066,0.735,0.0484,73,221333
0.808,151.008,0.577,rock,-7.04,0.869,0.039,75,290280
0.758,112.113,0.489,rock,-6.491,0.435,0.0297,72,371413
0.932,112.937,0.564,rock,-10.068,0.619,0.0554,75,146250
0.338,177.765,0.388,rock,-10.054,0.478,0.0329,76,303373
0.7,188.386,0.31,rock,-5.678,0.763,0.047,83,255493
0.691,137.145,0.548,rock,-13.553,0.667,0.0369,74,261933
0.532,136.576,0.601,rock,-9.119,0.342,0.0286,79,281613
0.641,203.006,0.256,rock,-10.283,0.382,0.0552,79,281160
0.755,109.535,0.667,rock,-7.246,0.883,0.069,68,286220
0.373,92.718,0.671,rock,-18.064,0.732,0.0323,83,295893
0.927,141.466,0.333,rock,-8.55,0.385,0.0733,75,308120
0.787,126.879,0.767,rock,-9.897,0.964,0.0331,77,266200
0.366,127.163,0.472,rock,-12.595,0.171,0.0286,71,382297
0.864,81.394,0.437,rock,-7.842,0.749,0.0904,69,295387
0.584,170.411,0.509,rock,-4.907,0.685,0.057,69,278747
0.912,117.399,0.575,rock,-7.275,0.843,0.0393,69,207267
0.611,85.387,0.654,rock,-10.45,0.786,0.119,69,235000
0.482,138.453,0.529,rock,-11.709,0.492,0.0599,74,516893
0.748,134.114,0.618,rock,-8.905,0.663,0.358,77,191947
0.7,147.245,0.586,rock,-9.558,0.897,0.0363,69,295400
0.318,104.522,0.575,rock,-16.729,0.385,0.109,74,254173
0.706,80.823,0.445,rock,-9.803,0.768,0.0461,70,266720
0.913,115.728,0.574,rock,-4.793,0.423,0.133,84,208400
0.495,124.936,0.532,rock,-6.662,0.308,0.0343,79,214240
0.875,75.009,0.284,rock,-6.069,0.595,0.0422,73,340907
0.737,103.867,0.662,rock,-9.54,0.744,0.0296,69,329800
0.936,91.577,0.666,rock,-9.919,0.776,0.0476,72,282907
0.432,94.605,0.475,rock,-7.844,0.648,0.0302,79,153467
0.549,176.941,0.516,rock,-13.741,0.907,0.0373,73,288733
0.751,89.839,0.421,rock,-9.584,0.789,0.0472,72,145867
0.938,168.131,0.324,rock,-7.332,0.543,0.102,71,178440
0.953,84.989,0.267,rock,-4.899,0.568,0.096,72,267307
0.919,135.997,0.465,rock,-4.025,0.537,0.0408,73,235293
0.58,127.402,0.741,rock,-9.05,0.944,0.0304,70,171267
0.72,121.864,0.404,rock,-9.18,0.475,0.0623,73,258467
0.927,170.814,0.215,rock,-7.327,0.49,0.0452,72,194853
0.801,133.769,0.651,rock,-7.34,0.776,0.0514,70,200480
0.262,122.861,0.481,rock,-15.73,0.375,0.0414,75,334744
0.449,84.383,0.623,rock,-13.333,0.573,0.0253,75,256000
0.476,148.117,0.389,rock,-9.342,0.566,0.0316,73,217107
0.978,141.167,0.526,rock,-5.436,0.451,0.108,72,210227
0.842,100.127,0.297,rock,-7.457,0.586,0.0488,72,206773
0.944,146.347,0.27,rock,-4.199,0.606,0.0975,70,269920
0.182,136.094,0.349,jazz,-13.507,0.178,0.031,69,191973
0.164,58.303,0.136,classical,-18.756,0.071,0.0364,68,166867
0.00527,170.612,0.184,classical,-37.264,0.151,0.0432,68,315427
0.449,92.468,0.447,classical,-10.634,0.036,0.0376,75,315427
0.812,80.09,0.505,hip-hop,-3.986,0.664,0.461,88,255916
0.507,130.007,0.872,hip-hop,-6.323,0.506,0.072,76,158667
0.802,128.085,0.835,hip-hop,-4.286,0.374,0.243,71,143778
0.533,120.011,0.794,hip-hop,-8.206,0.15,0.0591,73,179023
0.722,119.973,0.769,hip-hop,-5.485,0.57,0.0507,92,256000
0.684,166.976,0.832,hip-hop,-4.691,0.68,0.359,78,149461
0.642,111.907,0.65,hip-hop,-5.332,0.186,0.04,70,127154
0.699,129.054,0.92,hip-hop,-6.635,0.484,0.358,72,138180
0.628,119.98,0.757,hip-hop,-6.715,0.321,0.101,85,217333
0.709,78.53,0.749,hip-hop,-6.385,0.564,0.259,73,181166
0.69,125.951,0.853,hip-hop,-5.858,0.471,0.0647,78,137143
0.754,131.001,0.863,hip-hop,-5.851,0.301,0.0611,77,139197
0.4,106.682,0.608,hip-hop,-9.519,0.089,0.32,69,159228
0.509,157.94,0.662,hip-hop,-9.159,0.549,0.322,70,136709
0.663,143.082,0.76,hip-hop,-4.763,0.209,0.0551,81,148053
0.761,147.216,0.649,hip-hop,-4.204,0.313,0.152,73,150204
0.663,184.057,0.672,hip-hop,-5.984,0.381,0.243,76,138324
0.681,114.991,0.884,hip-hop,-5.839,0.324,0.149,69,184294
0.723,139.942,0.783,hip-hop,-4.881,0.294,0.135,76,278001
0.831,139.905,0.652,hip-hop,-5.972,0.648,0.264,68,150997
0.525,75.013,0.776,hip-hop,-6.723,0.467,0.137,70,217613
